state,epsilon,no_PT,PT_mean,PT_std,PT_sem,delta_F
0,0.0,1.0,1.0,1.578002294430506e-17,1.5780022944305061e-18,0.0
0,0.006690428799311597,1.0,1.0,1.1158161231197418e-17,1.1158161231197418e-18,0.0
0,0.013380857598623194,1.0,1.0,1.1158161231197418e-17,1.1158161231197418e-18,0.0
0,0.02007128639793479,1.0,1.0,1.1158161231197418e-17,1.1158161231197418e-18,0.0
0,0.026761715197246388,1.0,1.0,1.1158161231197418e-17,1.1158161231197418e-18,0.0
0,0.033452143996557986,1.0,1.0,2.2316322462394835e-17,2.2316322462394837e-18,0.0
0,0.04014257279586958,1.0,1.0,1.1158161231197418e-17,1.1158161231197418e-18,0.0
0,0.04683300159518118,1.0,1.0,1.1158161231197418e-17,1.1158161231197418e-18,0.0
0,0.053523430394492776,1.0,1.0,1.1158161231197418e-17,1.1158161231197418e-18,0.0
0,0.06021385919380437,0.9999999999999996,0.9999999999999997,1.3711378074894936e-16,1.3711378074894936e-17,1.1102230246251565e-16
0,0.06690428799311597,1.0,1.0,1.1158161231197418e-17,1.1158161231197418e-18,0.0
0,0.07359471679242757,1.0,1.0,2.7331801484138993e-17,2.7331801484138994e-18,0.0
0,0.08028514559173916,0.9999999999999996,0.9999999999999997,1.3891798702657818e-16,1.3891798702657818e-17,1.1102230246251565e-16
1,0.0,1.0,1.0,4.463264492478967e-17,4.463264492478967e-18,0.0
1,0.006690428799311597,1.0,1.0,4.175001639352443e-17,4.1750016393524435e-18,0.0
1,0.013380857598623194,1.0,1.0,4.175001639352443e-17,4.1750016393524435e-18,0.0
1,0.02007128639793479,1.0,1.0,4.3215372622724845e-17,4.321537262272484e-18,0.0
1,0.026761715197246388,1.0,1.0,4.3215372622724845e-17,4.321537262272484e-18,0.0
1,0.033452143996557986,1.0,1.0,3.865300434295845e-17,3.8653004342958456e-18,0.0
1,0.04014257279586958,1.0,1.0,4.3215372622724845e-17,4.321537262272484e-18,0.0
1,0.04683300159518118,1.0,1.0,4.3215372622724845e-17,4.321537262272484e-18,0.0
1,0.053523430394492776,1.0,1.0,4.3215372622724845e-17,4.321537262272484e-18,0.0
1,0.06021385919380437,0.9999999999999996,0.9999999999999997,1.2574609092054285e-16,1.2574609092054285e-17,1.1102230246251565e-16
1,0.06690428799311597,1.0,1.0,4.0231322458976686e-17,4.023132245897669e-18,0.0
1,0.07359471679242757,1.0,1.0,4.0231322458976686e-17,4.023132245897669e-18,0.0
1,0.08028514559173916,0.9999999999999996,0.9999999999999997,1.2819751242557092e-16,1.2819751242557092e-17,1.1102230246251565e-16
+,0.0,0.9999999999999998,0.9999999999999999,1.3891798702657818e-16,1.3891798702657818e-17,1.1102230246251565e-16
+,0.006690428799311597,0.9999440494145059,0.9999650866933982,2.245230705710367e-05,2.2452307057103667e-06,2.1037278892355182e-05
+,0.013380857598623194,0.9997762181937871,0.9998603578929723,8.979917847072397e-05,8.979917847072397e-06,8.413969918519282e-05
+,0.02007128639793479,0.9994965679369479,0.999685846952508,0.0002020104690608261,2.020104690608261e-05,0.0001892790155600954
+,0.026761715197246388,0.999105201281889,0.9994416094471589,0.0003590359505040779,3.590359505040779e-05,0.0003364081652699191
+,0.033452143996557986,0.99860226186441,0.9991277231517188,0.0005608053317927296,5.608053317927296e-05,0.0005254612873087927
+,0.04014257279586958,0.9979879342609728,0.9987442880102104,0.0008072282878657828,8.072282878657827e-05,0.0007563537492376593
+,0.04683300159518118,0.9972624439151534,0.9982914260968117,0.0010981944964005934,0.00010981944964005934,0.0010289821816582556
+,0.053523430394492776,0.9964260570478108,0.9977692815681297,0.0014335736827502349,0.00014335736827502348,0.0013432245203188753
+,0.06021385919380437,0.9954790805510064,0.9971780206068387,0.0018132156730083027,0.00018132156730083028,0.0016989400558322654
+,0.06690428799311597,0.994421861865721,0.9965178313567145,0.0022369504551798527,0.00022369504551798526,0.0020959694909934434
+,0.07359471679242757,0.9932547888434105,0.9957889238490796,0.002704588248434186,0.0002704588248434186,0.0025341350056691248
+,0.08028514559173916,0.9919782895914704,0.9949915299206971,0.003215919580410511,0.0003215919580410511,0.003013240329226674
+i,0.0,0.9999999999999998,1.0,1.9897851827653222e-16,1.989785182765322e-17,2.220446049250313e-16
+i,0.006690428799311597,0.9999440494145059,0.9999650866933983,2.2452307057083703e-05,2.2452307057083703e-06,2.1037278892466205e-05
+i,0.013380857598623194,0.9997762181937871,0.9998603578929723,8.979917847070726e-05,8.979917847070727e-06,8.413969918519282e-05
+i,0.02007128639793479,0.9994965679369479,0.999685846952508,0.00020201046906081604,2.0201046906081604e-05,0.0001892790155600954
+i,0.026761715197246388,0.999105201281889,0.9994416094471588,0.00035903595050410257,3.590359505041026e-05,0.0003364081652698081
+i,0.033452143996557986,0.99860226186441,0.9991277231517186,0.0005608053317927234,5.6080533179272344e-05,0.0005254612873085707
+i,0.04014257279586958,0.9979879342609727,0.9987442880102104,0.0008072282878657764,8.072282878657763e-05,0.0007563537492377703
+i,0.04683300159518118,0.9972624439151534,0.9982914260968117,0.0010981944964005943,0.00010981944964005943,0.0010289821816582556
+i,0.053523430394492776,0.9964260570478108,0.9977692815681298,0.0014335736827502496,0.00014335736827502497,0.0013432245203189863
+i,0.06021385919380437,0.9954790805510064,0.9971780206068387,0.0018132156730082838,0.00018132156730082838,0.0016989400558322654
+i,0.06690428799311597,0.9944218618657209,0.9965178313567145,0.0022369504551798232,0.00022369504551798233,0.0020959694909935545
+i,0.07359471679242757,0.9932547888434103,0.9957889238490796,0.0027045882484341855,0.00027045882484341856,0.0025341350056692358
+i,0.08028514559173916,0.9919782895914704,0.9949915299206971,0.0032159195804105064,0.00032159195804105066,0.003013240329226674
arbitrary,0.0,0.9999999999999999,1.0,1.8936027533166073e-16,1.8936027533166073e-17,1.1102230246251565e-16
arbitrary,0.006690428799311597,0.9999555612162158,0.999972270086728,1.783275742262303e-05,1.7832757422623028e-06,1.6708870512194274e-05
arbitrary,0.013380857598623194,0.9998222611754046,0.9998890891784856,7.132304766470887e-05,7.132304766470887e-06,6.682800308099868e-05
arbitrary,0.02007128639793479,0.9996001488026898,0.9997504837665346,0.00016044692790022412,1.6044692790022413e-05,0.000150334963844867
arbitrary,0.026761715197246388,0.9992893056182809,0.9995564979914733,0.00028516450425531835,2.8516450425531836e-05,0.0002671923731923931
arbitrary,0.033452143996557986,0.9988898457049924,0.9993071936259745,0.00044541994805780523,4.454199480578052e-05,0.00041734792098213624
arbitrary,0.04014257279586958,0.998401915662782,0.9990026500506343,0.0006411415185774782,6.411415185774782e-05,0.000600734387852242
arbitrary,0.04683300159518118,0.997825694550336,0.9986429642229362,0.0008722415922480433,8.722415922480433e-05,0.0008172696726002071
arbitrary,0.053523430394492776,0.9971613938137204,0.9982282506393462,0.0011386166983583398,0.00011386166983583398,0.0010668568256257949
arbitrary,0.06021385919380437,0.9964092572021258,0.9977586412905458,0.001440147561199287,0.0001440147561199287,0.0013493840884200026
arbitrary,0.06690428799311597,0.9955695606707466,0.9972342856098351,0.0017766991486490601,0.000177669914864906,0.0016647249390884244
arbitrary,0.07359471679242757,0.9946426122708172,0.996655350414708,0.002148120727176712,0.0002148120727176712,0.002012738143890802
arbitrary,0.08028514559173916,0.9936287520268757,0.9960220198416436,0.0025542459232427233,0.00025542459232427234,0.0023932678147678965
